,ID,ra,dec
1515,J162714.97+251029.7,246.81239,25.174908
1517,J155750.11+310921.3,239.4588,31.155912
1518,J161257.68+284311.3,243.24033,28.719807
1519,J162624.99+261929.0,246.60411,26.324722
1520,J135907.07+361946.8,209.77946,36.329659
1521,J140157.47+361007.0,210.48947,36.168613
1522,J140821.09+354221.3,212.08788,35.705925
1523,J152420.42+290709.6,231.08507,29.119343
1524,J144552.87+332904.5,221.47029,33.484581
1525,J151912.10+301522.9,229.8004,30.256348
1526,J152004.94+301136.9,230.02057,30.193579
1527,J141618.59+361252.2,214.07744,36.214512
1528,J150219.20+321740.1,225.57999,32.294464
1529,J151800.96+304244.7,229.50398,30.712423
1530,J140749.35+370346.2,211.95561,37.062843
1531,J141702.52+363417.7,214.26051,36.571583
1534,J154618.48+275752.1,236.57698,27.964483
1535,J154717.66+275259.7,236.82358,27.883263
1536,J160334.12+252806.7,240.89217,25.468517
1538,J163617.51+202603.7,249.07297,20.434353
1539,J143711.82+353245.7,219.29927,35.54604
1540,J152655.21+304639.2,231.73006,30.777569
1541,J154931.47+275640.6,237.38113,27.944609
1543,J155207.88+273501.6,238.03282,27.58378
1544,J155231.06+273834.4,238.12941,27.642897
1545,J160806.49+252906.7,242.02704,25.485182
1547,J164710.66+210514.5,251.79443,21.087364
1548,J144639.23+315008.4,221.66347,31.835655
1549,J141950.17+341401.7,214.95906,34.233795
1550,J153633.90+254709.5,234.14124,25.785961
1551,J155510.20+233009.9,238.79248,23.502747
1552,J153723.48+260700.6,234.34785,26.116837
1553,J145315.80+310711.4,223.31584,31.119839
1555,J160810.91+232016.8,242.04547,23.338011
1557,J145748.59+313843.9,224.45247,31.645519
1558,J073513.40+394453.5,113.80582,39.748184
1559,J075134.00+452157.8,117.89165,45.366066
1560,J072815.28+381621.6,112.06366,38.272659
1561,J073537.72+410238.8,113.90717,41.044098
1562,J073729.80+414414.1,114.37415,41.737255
1563,J074103.15+425935.7,115.26312,42.993248
1564,J083427.56+560903.8,128.61484,56.151043
1565,J073017.61+395631.0,112.57339,39.94194
1566,J073014.75+405406.6,112.56145,40.901844
1567,J073419.92+421625.1,113.58299,42.273632
1568,J075954.69+501850.4,119.97786,50.313995
1570,J081914.07+543529.9,124.80862,54.591625
1572,J082731.92+534801.0,126.883,53.800282
1573,J075112.78+454850.4,117.80327,45.814003
1574,J080626.77+500710.9,121.61156,50.119701
1575,J073434.10+411257.5,113.64207,41.215961
1576,J073614.94+412649.3,114.06226,41.447037
1578,J081033.66+513344.0,122.64026,51.562229
1579,J072352.99+380239.0,110.97081,38.044155
1582,J073348.12+423440.4,113.45051,42.577881
1583,J072340.37+412831.2,110.91822,41.475342
1584,J075201.11+491857.0,118.00462,49.31583
1585,J080924.41+535728.9,122.35169,53.958019
1586,J081212.84+541539.8,123.05351,54.261059
1587,J073603.06+445151.0,114.01275,44.864174
1589,J081326.77+552918.0,123.36154,55.488346
1590,J075402.76+513055.4,118.51149,51.515396
1591,J072941.50+414323.2,112.4229,41.723122
1592,J073403.45+433241.3,113.51439,43.544811
1593,J080412.19+524643.3,121.05079,52.778694
1594,J075121.01+501409.9,117.83756,50.236084
1595,J073002.64+435444.1,112.51099,43.912243
1596,J080049.42+533326.0,120.20592,53.557217
1597,J080041.22+533823.6,120.17173,53.639889
1598,J072703.25+432953.1,111.76354,43.498081
1599,J080205.23+550107.3,120.52179,55.018707
1601,J082724.90+233402.2,126.85374,23.567289
1602,J075523.04+184513.2,118.84599,18.753677
1603,J080222.29+200758.0,120.59288,20.132782
1604,J082134.81+231224.0,125.39503,23.206654
1605,J074910.25+182055.4,117.29272,18.348722
1606,J082828.44+243834.5,127.11852,24.642923
1609,J100008.51+112159.1,150.03545,11.366425
1610,J103645.23+123735.0,159.18845,12.626401
1611,J104304.32+125154.8,160.76799,12.865228
1613,J102650.40+124526.6,156.70999,12.757379
1614,J111944.35+135746.5,169.9348,13.962903
1615,J113305.56+140619.1,173.27315,14.105311
1616,J093625.75+111930.4,144.10728,11.32512
1617,J102132.09+130541.3,155.3837,13.094819
1618,J102142.79+130656.1,155.42828,13.115587
1621,J113349.80+143606.1,173.4575,14.601705
1622,J104515.72+140706.7,161.31549,14.118528
1623,J105205.97+141118.0,163.02486,14.18833
1624,J113417.45+150232.9,173.57272,15.042482
1625,J102154.21+135356.5,155.47586,13.899026
1626,J102604.49+135858.8,156.51872,13.982999
1627,J103237.54+141050.4,158.15642,14.180659
1628,J110840.08+150533.9,167.16699,15.09275
1630,J080724.82+065147.6,121.85341,6.8632092
1631,J083117.34+080819.3,127.82224,8.1386871
1632,J084428.53+092053.7,131.11888,9.3482399
1633,J114417.73+135630.7,176.07388,13.941854
1634,J121445.84+135830.5,183.69099,13.975129
1635,J121447.45+140543.8,183.69772,14.095511
1636,J123915.04+140519.2,189.81268,14.088676
1637,J125704.93+135751.0,194.27055,13.964164
1638,J130843.86+134825.4,197.18277,13.807049
1639,J131042.12+134809.5,197.67551,13.802652
1641,J115625.57+142832.4,179.10654,14.475653
1642,J131349.41+140923.8,198.45587,14.156612
1643,J114608.97+143911.7,176.53737,14.653243
1644,J115058.44+144412.5,177.74352,14.736805
1645,J134450.98+135539.4,206.21242,13.927611
1646,J120554.44+151918.1,181.47682,15.321681
1647,J124955.54+151639.5,192.48143,15.277637
1648,J133833.68+142828.4,204.64032,14.474549
1649,J134017.10+142148.0,205.07123,14.363342
1651,J124827.12+153456.6,192.11301,15.582381
1652,J134728.87+143700.5,206.87029,14.61681
1653,J135226.65+142927.5,208.11104,14.490975
1654,J135309.40+143939.2,208.28917,14.660883
1657,J130934.01+155117.6,197.39171,15.854892
1658,J134855.15+365714.2,207.2298,36.953953
1659,J124914.13+391650.2,192.30888,39.280605
1660,J134116.99+373442.7,205.3208,37.578537
1661,J131101.98+391128.8,197.75824,39.191322
1662,J131314.70+391038.3,198.31126,39.177303
1663,J134858.97+374302.4,207.2457,37.717339
1665,J132648.41+395636.9,201.70169,39.943573
1666,J135625.93+383723.6,209.10805,38.623219
1667,J095612.93+304309.0,149.05388,30.719172
1668,J113249.80+354312.1,173.20749,35.720036
1671,J105627.55+345026.0,164.11481,34.840549
1672,J111037.69+355826.6,167.65706,35.974056
1673,J105450.09+354352.7,163.70871,35.731293
1674,J113219.57+365618.8,173.08154,36.938549
1675,J103603.86+350913.6,159.01607,35.153778
1676,J104451.00+353606.0,161.21251,35.601654
1677,J113730.90+373624.8,174.37875,37.606899
1678,J114948.32+374256.6,177.45134,37.715733
1679,J095340.75+324328.4,148.4198,32.72456
1680,J102256.55+344646.9,155.73563,34.779682
1681,J105845.17+364731.7,164.68819,36.792145
1682,J095503.17+330559.7,148.7632,33.099907
1683,J110253.80+372030.3,165.72418,37.341763
1685,J081403.49+210719.8,123.51456,21.122162
1686,J083918.73+250157.2,129.82806,25.032555
1687,J085430.12+265843.6,133.6255,26.978764
1688,J090105.44+275727.3,135.27267,27.957594
1690,J074709.21+171216.4,116.78838,17.204567
1691,J085337.54+272822.5,133.40642,27.472916
